Target,Frequency
big luggage,1
ibis legion city,1
amenities and coffee facilities,1
roof swimming pool,1
hotel management,2
lighting in room,1
roof pool,1
had booked two interconnection rooms,1
one with a double and one with twins,1
come again here,1
beach views,1
bathroom was mold,1
service staffs,1
actor hotels,1
swimming pools,2
new menu,3
location of the swimming pool,1
fame hotel sunset road kata bali,1
fame hotel sunset road,1
b ' fast,2
recommend it to everyone,1
black rice,1
kintamani coffee,1
organic fresh lemongrass,1
mint tea,1
balinese laklak,1
small swimmingpool,1
terrace and place to see the sunset,1
sunrise,1
5am prayer blasted at full volume,1
6am chorus of rosters,1
7am traffic,1
view of the beach,1
cheap price,1
room above,1
free transfer,1
recommend to others,1
icecream,1
no pool bar,1
pick up,1
design features,1
staff open our door to let other guests in while we were still in bed,1
bing tang supermarket,1
award,1
mr . made martin,1
crystal kata,1
hotel .,2
attendant,2
room support,1
standard room,1
air condition,1
kata beach and airport,1
this establishment,1
aircond leaks water,1
actor le club,1
room equipment,3
dan spa,1
price .,1
musica bali,1
speed wifi,1
swift room service,1
staff restaurant,2
hardy singaraja,3
supermarket on the ground floor,2
photos on the internet,1
thick,1
shower curtain,1
cleanliness of the rooms and quality,1
shower in our room,1
pool view,2
5 star hotel,1
fame hotel sunset road kata,1
a side street of jl . elastic,2
mercury team,1
arrangement,1
four star hotel,1
krishna shopping,1
homemade beer,1
near airport,1
hotel interior,1
windowless rooms,1
the premises,1
checked in,1
specific order,1
shower windows,1
coffee break,1
live,1
dodgy guy straight in front of the hotel,1
helpful,1
called by restaurant,1
cellular reception on the room,1
impact 60s restaurant,1
asked for double bed but got two singles pushed together,1
mosque close to the hotel,1
staff behaviour,1
room ac,2
on the bed,1
extras such as water / soap / fridge,1
room 220,2
secondly breakfast,1
team members in ibis bali legion street,3
small fee,1
people working there,2
dining options,1
toolbar,1
housekeeping staff,2
roman hotel,1
advertised,1
shower room,1
pool bar ' s price,1
mosque,1
break fast,1
interconnection rooms,4
hotel located,2
room quality,2
marsh,3
got a room with direct access to the swimming,2
at night,1
room on 1st floor,1
someone knock the door,1
simple breakfast,1
nearby bar,1
for rest and quiet,1
busy front desk,1
breakfast was buffer,1
hotels in kata,1
place to relax and have a sunbathing,1
bath tub,1
stayed on the bottom floor,1
the wooden floor boards were loose,1
them,2
mai mai fish,1
bali legion,2
westernised in terms of amenities,1
lawn,2
mercury i had very few sleep,2
buildings are bit old,1
all - round,1
staff at fo and restaurant,1
connecting door,1
swimming pool on the roof,1
decorate the room,1
street out side,1
